8 ,8 ,8 ,8 ,8 ,9 ,8 ,6 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,5 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,8 ,7 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,
8 ,8 ,8 ,8 ,8 ,9 ,8 ,6 ,5 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,5 ,5 ,6 ,6 ,6 ,6 ,6 ,5 ,5 ,5 ,5 ,5 ,5 ,7 ,8 ,8 ,8 ,9 ,7 ,6 ,6 ,6 ,6 ,6 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,
8 ,8 ,8 ,8 ,8 ,9 ,8 ,6 ,5 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,5 ,5 ,6 ,6 ,7 ,7 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,5 ,7 ,7 ,7 ,7 ,7 ,8 ,8 ,9 ,9 ,9 ,6 ,6 ,6 ,6 ,7 ,9 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,
8 ,8 ,8 ,8 ,8 ,9 ,8 ,6 ,5 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,7 ,7 ,7 ,6 ,6 ,7 ,8 ,8 ,8 ,8 ,7 ,7 ,7 ,7 ,7 ,7 ,6 ,5 ,5 ,7 ,9 ,9 ,26,26,22,11,9 ,9 ,9 ,6 ,6 ,7 ,7 ,7 ,9 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,
8 ,8 ,8 ,8 ,8 ,9 ,8 ,6 ,5 ,5 ,5 ,6 ,6 ,8 ,8 ,10,10,11,9 ,7 ,7 ,7 ,7 ,6 ,6 ,7 ,8 ,8 ,8 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,6 ,5 ,5 ,7 ,9 ,9 ,26,26,26,26,9 ,9 ,9 ,6 ,7 ,7 ,7 ,7 ,9 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,
8 ,8 ,8 ,8 ,8 ,9 ,8 ,6 ,5 ,7 ,7 ,8 ,11,11,11,11,11,11,11,9 ,9 ,7 ,7 ,6 ,6 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,6 ,5 ,9 ,9 ,22,22,26,26,26,26,22,20,9 ,7 ,7 ,7 ,7 ,7 ,9 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,
7 ,7 ,7 ,7 ,7 ,8 ,7 ,7 ,6 ,6 ,26,26,22,22,10,10,10,10,10,8 ,8 ,5 ,5 ,4 ,4 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,4 ,8 ,8 ,26,26,26,26,26,26,22,11,11,7 ,7 ,7 ,7 ,7 ,9 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,
6 ,6 ,6 ,7 ,7 ,8 ,7 ,8 ,8 ,8 ,26,26,26,22,10,10,10,10,10,7 ,7 ,7 ,5 ,4 ,4 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,4 ,8 ,8 ,26,26,28,29,26,22,10,22,10,7 ,7 ,7 ,7 ,7 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,7 ,
6 ,6 ,6 ,7 ,7 ,8 ,8 ,9 ,22,22,26,29,29,26,22,22,9 ,9 ,8 ,6 ,6 ,6 ,4 ,2 ,2 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,4 ,2 ,7 ,7 ,10,26,26,29,26,9 ,9 ,9 ,9 ,5 ,5 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,5 ,
6 ,5 ,5 ,7 ,7 ,8 ,7 ,8 ,16,11,22,29,29,26,26,22,6 ,8 ,8 ,6 ,6 ,6 ,4 ,2 ,2 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,4 ,2 ,5 ,6 ,8 ,26,26,29,26,18,8 ,8 ,8 ,4 ,4 ,4 ,4 ,4 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,5 ,5 ,
